182-04-7814 09FEB12 530 04MAY12 610
302-57-5023 09FEB12 480 04MAY12 530
123-89-8470 09FEB12 560 04MAY12 570 13JUL12 610
152-64-0014 09FEB12 780
813-63-7456 09FEB12 790
186-79-3143 09FEB12 670
187-46-5981 09FEB12 510 04MAY12 590
879-41-3513 09FEB12 600
891-72-6989 09FEB12 490 04MAY12 540 13JUL12 600
816-74-1456 09FEB12 620
168-41-8671 09FEB12 550 04MAY12 610
185-05-8749 09FEB12 650
518-18-5024 09FEB12 720
583-12-1458 09FEB12 780
845-17-8145 09FEB12 640 04MAY12 600 13JUL12 660
542-79-3458 09FEB12 710
125-78-2853 09FEB12 770
528-75-1378 09FEB12 680 04MAY12 700
549-37-1542 09FEB12 590 04MAY12 630
345-97-4239 09FEB12 730
